,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
47,HP OMEN 15 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Black,https://www.jumia.com.eg/omen-15-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-black-hp-mpg772151.html,1800,I7,7,Intel,17,Jumia (EG)
0,"PC Gamer 
						
							Dell
						
						Inspiron G3 15-3500-853",https://www.boulanger.com/ref/1152079,1062,i5,5,Intel,24,Boulanger (FR)
1,"PC Gamer 
						
							Acer
						
						Predator Helios 300 PH317-54-7677",https://www.boulanger.com/ref/1151227,2005,i7,7,Intel,15,Boulanger (FR)
2,"PC Gamer 
						
							MSI
						
						GF75 Thin 10UEK-035FR + sac à dos",https://www.boulanger.com/ref/1157099,2241,i7,7,Intel,0,Boulanger (FR)
3,"PC Gamer 
						
							Dell
						
						Inspiron G3 15-3500-294",https://www.boulanger.com/ref/1152078,944,i5,5,Intel,11,Boulanger (FR)
4,"PC Gamer 
						
							Acer
						
						Predator PT315-52-57EF Noir",https://www.boulanger.com/ref/1157998,1297,i5,5,Intel,15,Boulanger (FR)
5,"PC Gamer 
						
							MSI
						
						GF75 Thin 10SCSR-493FR",https://www.boulanger.com/ref/1152134,1533,i7,7,Intel,13,Boulanger (FR)
6,"PC Gamer 
						
							Acer
						
						Nitro AN515-44-R3SQ",https://www.boulanger.com/ref/1158270,1356,Ryzen 7,7,AMD,8,Boulanger (FR)
7,"PC Gamer 
						
							Dell
						
						Inspiron G3 15-3500-860",https://www.boulanger.com/ref/1152080,1710,i7,7,Intel,9,Boulanger (FR)
8,"Ordinateur portable 
						
							MSI
						
						Modern 14 B10MW-462FR",https://www.boulanger.com/ref/1157116,1179,i7,7,Intel,11,Boulanger (FR)
9,"PC Gamer 
						
							HP
						
						Pavilion Gaming 16-a0089nf",https://www.boulanger.com/ref/1147723,1605,i7,7,Intel,24,Boulanger (FR)
12,"Ordinateur portable 
						
							Asus
						
						ZEPHYRUS-G14-GA401V-150T",https://www.boulanger.com/ref/1155838,1887,Ryzen 9,9,AMD,20,Boulanger (FR)
13,"PC Gamer 
						
							Lenovo
						
						Creator 5 15IMH05-539 + premium care",https://www.boulanger.com/ref/1150803,1592,i5,5,Intel,10,Boulanger (FR)
14,"PC Gamer 
						
							Lenovo
						
						Legion5P 15IMH05H-631",https://www.boulanger.com/ref/1147836,1627,i5,5,Intel,8,Boulanger (FR)
16,"PC Gamer 
						
							Dell
						
						Inspiron G5 15-5500-269",https://www.boulanger.com/ref/1152084,2123,i7,7,Intel,0,Boulanger (FR)
17,"PC Gamer 
						
							MSI
						
						GL65 Leopard 10SFSK-291FR",https://www.boulanger.com/ref/1148756,2004,i7,7,Intel,22,Boulanger (FR)
19,"PC Gamer 
						
							Asus
						
						SCAR15-G533QR-HF009T",https://www.boulanger.com/ref/1156746,2949,Ryzen 9,9,AMD,0,Boulanger (FR)
20,"PC Gamer 
						
							MSI
						
						Prestige 15 A11SCS-216FR",https://www.boulanger.com/ref/1152137,1887,i7,7,Intel,11,Boulanger (FR)
